[ 2026-09-22 21:15:37,846 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-22 21:15:39,624 ] 82 root - INFO - Performed train test split on the dataframe
[ 2026-09-22 21:15:39,624 ] 84 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-22 21:15:39,625 ] 92 root - INFO - Exporting train and test file path.
[ 2026-09-22 21:15:39,672 ] 101 root - INFO - Exported train and test file path.
[ 2026-09-22 21:15:39,672 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-22 21:15:39,677 ] 26 root - INFO - Initiate the data Validation
[ 2026-09-22 21:15:39,745 ] 32 root - INFO - Required number of columns:2
[ 2026-09-22 21:15:39,746 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-22 21:15:39,746 ] 32 root - INFO - Required number of columns:2
[ 2026-09-22 21:15:39,746 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-22 21:15:39,867 ] 28 root - INFO - data Validation Completed
[ 2026-09-22 21:15:39,867 ] 31 root - INFO - data Transformation started
[ 2026-09-22 21:15:39,867 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-09-22 21:15:39,867 ] 65 root - INFO - Starting data transformation
[ 2026-09-22 21:15:39,906 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-09-22 21:15:39,906 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-09-22 21:15:39,958 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-22 21:15:39,962 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-22 21:15:39,962 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-22 21:15:39,964 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-22 21:15:39,965 ] 35 root - INFO - data Transformation completed
[ 2026-09-22 21:15:39,965 ] 37 root - INFO - Model Training sstared
